# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Sep 21 19:02:55 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.1
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Attention: photometry includes extinction of Av=0.001, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 6.60000 0.2278439999 1.7806107998    0.228 -1.217  3.4588  3.800    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.812 9.359 11.319 11.361 8.044
0.02 0.14251 6.60000 0.2441866249 1.8253428936    0.244 -1.181  3.4634  3.812    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.722 9.224 11.141 11.182 7.921
0.02 0.14251 6.60000 0.2629586458 1.8721524477    0.263 -1.139  3.4688  3.824    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.617 9.068 10.936 10.977 7.779
0.02 0.14251 6.60000 0.2875005305 1.9271818399    0.287 -1.085  3.4758  3.837    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.483 8.872 10.679 10.720 7.600
0.02 0.14251 6.60000 0.3102604747 1.9730168581    0.310 -1.039  3.4822  3.850    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.24e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.368 8.702 10.453 10.494 7.446
0.02 0.14251 6.60000 0.3458287418 2.0365276337    0.346 -0.967  3.4926  3.866    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.188 8.439 10.104 10.146 7.210
0.02 0.14251 6.60000 0.3500000238 2.0434176922    0.350 -0.960  3.4936  3.868    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.169 8.413 10.071 10.113 7.186
0.02 0.14251 6.60000 0.3549294472 2.0514235497    0.355 -0.951  3.4949  3.871    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 7.147 8.382 10.031 10.073 7.158
0.02 0.14251 6.60000 0.4000000358 2.1185026169    0.400 -0.872  3.5063  3.889    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.950 8.105 9.675 9.718 6.907
0.02 0.14251 6.60000 0.4152095616 2.1389546394    0.415 -0.846  3.5104  3.896    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.885 8.011 9.552 9.595 6.823
0.02 0.14251 6.60000 0.4500000179 2.1822810173    0.450 -0.790  3.5191  3.910    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.745 7.807 9.282 9.326 6.642
0.02 0.14251 6.60000 0.4818817377 2.2183244228    0.482 -0.742  3.5268  3.922    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.81e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.625 7.633 9.054 9.098 6.487
0.02 0.14251 6.60000 0.5000000000 2.2374541759    0.500 -0.717  3.5308  3.929    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.562 7.542 8.935 8.979 6.407
0.02 0.14251 6.60000 0.5157077909 2.2530813217    0.516 -0.694  3.5347  3.935    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.504 7.458 8.824 8.869 6.334
0.02 0.14251 6.60000 0.5348661542 2.2707197666    0.535 -0.668  3.5390  3.942    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.440 7.366 8.703 8.748 6.252
0.02 0.14251 6.60000 0.5500000119 2.2836582661    0.550 -0.649  3.5420  3.947    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.392 7.297 8.614 8.659 6.192
0.02 0.14251 6.60000 0.5558313131 2.2884280682    0.555 -0.641  3.5435  3.949    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.372 7.268 8.574 8.619 6.166
0.02 0.14251 6.60000 0.5799732804 2.3070070744    0.580 -0.608  3.5493  3.958    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.290 7.147 8.414 8.459 6.061
0.02 0.14251 6.60000 0.6000000238 2.3211214542    0.600 -0.584  3.5534  3.965    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.229 7.057 8.294 8.340 5.984
0.02 0.14251 6.60000 0.6158393621 2.3315401077    0.616 -0.563  3.5572  3.971    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-14      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 6.177 6.978 8.186 8.232 5.916
