# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Sep 22 07:47:09 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.1
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Attention: photometry includes extinction of Av=0.001, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 8.90000 0.3024546802 1.9578038454    0.302 -2.102  3.4935  4.947    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.04e-16      0.00 6.956e-01 2.844e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.025 11.163 12.800 12.846 9.950
0.02 0.14251 8.90000 0.3052960634 1.9634000063    0.305 -2.092  3.4940  4.943    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.12e-16      0.00 6.957e-01 2.843e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 10.000 11.133 12.765 12.811 9.922
0.02 0.14251 8.90000 0.3272800744 2.0045263767    0.327 -2.024  3.4987  4.924    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.61e-16      0.00 6.958e-01 2.842e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.830 10.922 12.506 12.552 9.725
0.02 0.14251 8.90000 0.3500000238 2.0434176922    0.350 -1.960  3.5034  4.908    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.11e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.670 10.722 12.260 12.307 9.539
0.02 0.14251 8.90000 0.4000000358 2.1185026169    0.400 -1.812  3.5149  4.864    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 9.301 10.261 11.694 11.740 9.112
0.02 0.14251 8.90000 0.4500000179 2.1822810173    0.450 -1.664  3.5267  4.814    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.95e-16      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.931 9.807 11.147 11.193 8.691
0.02 0.14251 8.90000 0.5000000000 2.2374541759    0.500 -1.514  3.5404  4.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-15      0.00 6.960e-01 2.840e-01 3.596e-03 9.702e-04 8.799e-03 -1.000 2.000e-02 8.555 9.344 10.590 10.637 8.264
0.02 0.14251 8.90000 0.5404572487 2.2755968571    0.540 -1.388  3.5542  4.727    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-15      0.00 6.973e-01 2.828e-01 3.581e-03 9.661e-04 8.762e-03 -1.000 1.988e-02 8.239 8.940 10.098 10.145 7.898
0.02 0.14251 8.90000 0.5500000119 2.2836582661    0.550 -1.359  3.5573  4.718    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-15      0.00 6.978e-01 2.824e-01 3.576e-03 9.648e-04 8.750e-03 -1.000 1.985e-02 8.168 8.850 9.988 10.035 7.816
0.02 0.14251 8.90000 0.6000000238 2.3211214542    0.600 -1.201  3.5790  4.685    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-15      0.00 6.981e-01 2.821e-01 3.573e-03 9.640e-04 8.743e-03 -1.000 1.986e-02 7.773 8.316 9.320 9.368 7.347
