mg,bp_rp
3.9543723376943873,0.7596445
7.639986165703469,1.7635632
6.737422622156441,1.5011883
3.145360903525102,1.0211725
6.362183144364948,1.3602543
6.183743041846789,1.103529
3.48241740208093,1.2243423
1.3820295888417746,1.3192301
4.628049052356246,1.4232721
5.212031099055553,1.9010115
2.565460263867511,2.6998634
7.874350576095555,1.7704124
5.832179976614658,1.1352863
4.2510930314955395,1.2126007
6.993039762986076,1.0596714
4.788595887553713,1.1247263
3.8743274085725314,0.7301626
6.012883369333153,1.3684063
4.2121348758693,0.9915085
6.760712418445614,2.2403698
3.318502169571511,1.8609867
5.264396029126427,1.0884075
6.121718242859952,1.0211811
5.444368178650082,1.0332489
8.004203809610416,1.8372059
7.089077193818799,1.9082527
5.1596588012323465,1.0671663
0.8570539535073998,2.3141928
4.927386249085718,0.93303967
6.228930160876125,1.9355564
2.501018979893031,1.1428614
4.010609323602427,1.2309132
6.071302690599381,1.0374756
4.880359677332377,1.1079264
5.023998193485809,1.0054779
3.5374586392986664,1.1671095
4.394708629456552,0.94306946
7.385456321703334,1.8389988
6.770053312010436,1.5331116
5.561544897992249,1.1571131
6.826436986243145,1.1346207
3.8547478048973964,1.1274805
1.8589133224781307,2.118125
3.9496735585782154,2.2725878
6.342436422529357,1.3576488
7.172328823736951,1.5081177
7.181848107962551,1.6685085
3.406536551746605,1.0090303
4.947373777440177,0.99505043
5.719953178635352,1.2241707
10.280239030626845,2.7078705
3.195144982980242,0.88170433
9.793543689178662,2.1947346
9.171019465510277,2.2030296
6.4842526086045105,1.6871738
9.606649633764128,2.1702785
4.602989245384666,1.4867163
9.14123496617674,2.3919353
5.865743077583401,1.2037354
4.69962722666239,0.965621
5.0743407609427,0.9124956
5.613054648347326,1.0970392
5.007883715880379,0.9438877
3.695318030434194,1.200326
7.583995141928039,1.6445274
4.743242214418359,0.881341
5.26881241767691,1.1712637
3.580308218491586,1.4150009
7.779613059812284,1.8862019
8.952995848871694,2.0142975
9.01606378834542,2.356182
8.425222341903321,1.8605824
5.161271883730986,1.086545
5.063399810480915,0.9409523
3.614576078659484,0.92656136
5.519901718959062,1.7554712
1.363432421106321,1.849741
3.8657929023300817,0.86132336
2.9692760002681062,1.1581812
6.285101435581037,1.0142841
2.619078896266183,1.8391876
8.781544909561926,2.0478363
3.797305971296421,1.0302238
6.286701940678999,1.0434532
2.2957975571997995,1.3305702
3.5175259014467564,0.7527914
4.374724803274688,1.0153866
5.167242660491384,1.1033335
4.7527065854407855,1.4137707
3.3283746687680207,0.9173441
7.405195851851275,1.7161655
8.9262593255893,2.2559357
4.2329768798740695,0.93211746
4.887836215651463,1.2349033
6.597942280057083,1.6141872
7.141662847746613,1.3800926
5.456034577167985,1.1588745
6.406154034449756,1.4675217
8.150698814414078,1.8845959
4.649254556081521,2.1673594
5.725887421931311,1.5980225
4.595544209033362,1.9352226
6.411826990643686,1.1311378
3.4300427815426318,1.1397705
6.093381588257067,1.277113
4.578246128469839,2.0427332
6.39199784172018,1.306345
7.289756117991072,2.346695
4.089585966896273,0.9225664
4.397867623091674,0.92943764
2.1073148052212503,1.0796719
8.652902663057407,2.1493473
0.8012876749110927,1.4082441
0.5815666190460753,1.3740759
6.277976635086819,1.328371
7.113205801265398,1.4963531
5.811239342975698,1.2774277
0.8069088782627709,1.5948877
6.374968804294781,1.9779568
5.842369321369363,1.2249355
8.645559860338377,2.120308
5.275527359614543,1.107624
3.140644449755545,1.6331892
8.226829741884774,1.9726124
3.3238405221950966,1.0118351
3.4300307021298835,1.0636978
4.397743552291498,0.864131
5.771455112652992,1.0722523
-3.071722009788272,0.3531885
7.99720502767142,1.9958649
5.483422473048574,2.1302652
4.7253553450934955,1.0895271
4.505895081660308,1.3120708
5.181410685621511,1.1866131
6.581613427458084,1.3778248
5.034006589546047,1.4572592
7.101988188030386,1.4509296
10.196056058606967,2.7753124
8.72741016317633,2.3421555
4.621071037499643,0.8740883
9.02312786659471,2.1927757
8.909077252767823,2.2874794
7.111036379610308,1.6033993
5.870838351143881,1.5696754
9.903609157993195,2.408554
6.610536499913884,1.5350819
4.9773550119918095,1.5792866
4.485283673983318,1.3392973
6.882959688510091,1.3447285
6.202548309859196,1.3096085
4.690157904601444,1.1317253
0.5783218497840608,1.3020906
5.72613127722949,1.6882992
7.3616621285525845,1.1534252
6.977041679422882,1.4950619
4.8024608373274695,0.97353554
6.40173701108457,1.8755493
4.201523405233289,1.1760521
5.900159736692757,1.3589983
4.145967408398713,0.994833
4.263942945673362,1.6147509
7.33271506157843,1.6499958
6.8396167515265915,1.4855862
7.682036750950459,1.4792042
3.866354781167587,0.9592562
0.37622994302396506,1.2814369
7.116331007876809,1.5742569
4.446236676938726,1.314786
5.401597767652023,1.0845585
7.3930708752598555,1.5312691
8.34285780612338,2.2425213
7.341081440222407,1.6541061
5.719356086166824,1.2419605
2.4908110033678845,1.4175348
0.7851630746768272,1.1798801
3.668927411745047,1.0420628
8.95548349344497,2.2764835
5.057086503023919,1.5727015
8.880772045643479,2.2914982
-1.270762101704392,2.617691
5.309125700590027,1.2854891
1.9395750253103543,1.1191587
8.03551119472285,1.6670742
3.795361577000582,1.5120268
3.7024389181050292,0.8997011
5.267911999823289,0.77033234
7.858367655857123,1.865181
5.092803950778462,0.9352493
5.684928331307017,1.0949574
6.160509765866184,1.1848736
4.0054042246212465,1.0313845
4.21107450467853,1.2916985
4.043049984120671,0.8421993
4.513418767692663,1.4886198
8.454847013945361,2.166542
5.780177616278948,1.1524353
6.83543511367693,1.6420307
9.405759538723771,2.5062332
5.371616633203406,0.9441433
3.6247675610866708,0.8497753
5.282353023338283,0.9694185
8.091252111075477,1.6605148
4.202719097099964,0.97990894
-0.5529225831912328,1.9838085
6.287981962693067,1.4524803
7.8991035994738645,1.8552914
3.9731242271243126,0.8974018
7.920796073262739,1.6550884
6.141442468221165,1.3685207
5.358528073328781,1.0729256
1.2180282596993486,1.4706831
2.8521501365657613,1.4602499
4.8873073891726655,0.90228844
5.178210476638601,1.1586142
6.815232896495541,1.3177872
6.2294103690185025,1.3453846
5.468943924206098,1.512372
5.551921458051263,1.1253643
3.621828771271499,3.0820293
6.9494140321522195,1.5666008
5.145323349388283,1.166542
6.382791284145217,1.5420713
2.556398701565561,0.94655514
7.035791643005631,1.6400509
5.194548229693115,0.9060879
6.051147456069749,1.2530651
7.978975129864832,2.1225967
1.2181564770210276,0.21210861
6.143118190593956,1.4768038
4.856618539283595,1.9645767
3.3574643400354987,1.1672802
5.928419838827347,2.0332623
6.8486675720183285,1.6140594
6.330624282224974,1.2837143
7.011513978321695,1.3424873
2.6356421017650966,0.60296917
4.616504156145282,0.8006401
3.736789208438392,1.1228933
7.573658636820078,1.6799831
8.444825845341729,2.0550938
3.582207016087411,1.1302052
7.576934142444944,1.6430607
6.076952686630069,1.3777523
4.983584839115524,0.98547935
2.054597736335438,2.454173
5.4755724597934154,1.0114555
3.9159113067357474,1.0921383
0.800652296895727,0.025024414
5.991752315640479,1.7306328
6.117429181335222,1.1058102
2.9691898500289717,0.78385067
5.916812272336493,1.4065247
3.9947483743200713,1.6462936
7.9726180938386015,1.9118633
3.9622801202792104,1.0221405
8.696511231667237,2.676468
4.882237501378125,0.8191414
2.7793314408304077,1.5378895
4.529534606730781,0.997612
5.328331407433101,0.95228195
6.816875355089195,1.6940994
5.6443932861856805,1.0172157
6.070182860637665,1.2322578
3.2501858926575657,0.9822159
0.8552617025805489,1.2105808
7.9362465581446315,1.5854111
5.1668699244107685,1.2091026
6.6773557148359615,1.2745342
5.902550198895392,1.297884
7.318069712089709,1.479805
8.51979632814809,2.3319721
5.102206988065539,1.2244453
1.9666020363764147,1.2810545
6.722573129641379,1.2909813
6.195587340790773,1.4643955
6.692600192362143,1.440691
8.854632752203113,2.2013073
2.9924755528166163,1.3305483
4.030561639555396,0.94700336
4.634474004791805,1.9451532
6.250526713601936,1.2982769
5.47315769039627,1.2849331
9.418864312349097,1.783701
4.768700257574867,0.9121742
4.2983682713991005,0.8103018
8.161338477681053,2.0705204
4.276990632003979,1.6679821
4.684108719014489,1.7874889
3.933095737024537,0.8567476
5.811264556727682,1.3188076
2.7730981738697693,0.6154747
5.929319933330168,1.1519184
8.201121806851425,1.8797054
1.531795306109185,1.9290571
8.006763496494408,1.9008656
6.4792773490216895,1.3782997
6.217000832725123,1.3631382
5.78174988490947,1.0951958
6.750985000437396,1.3738422
4.554290273977049,0.97082996
5.714738302373648,1.2831583
4.565827248082707,1.1143246
5.605116989854185,1.1253872
2.473718639590942,3.0265474
2.9696670458897607,1.3472557
5.403633289843674,1.427371
7.569201714579293,1.9453697
7.98450381181614,2.0714645
4.507382671889207,1.0975437
5.714717065336933,1.0879688
5.058546767499882,1.2905521
4.1021560126823875,0.8030958
8.397870010911888,2.032177
2.5747474125768335,2.4726439
9.71244395812814,2.478159
8.249911084461296,1.9395447
7.959874631755394,1.9744301
4.062024880057141,1.0461302
4.4569024155154935,0.91760063
7.356396872612255,1.5316734
6.211054604348558,1.5148792
6.789972283771224,1.6190052
8.240592359736862,2.0864277
4.3501910113439575,0.9229183
7.105747355193163,1.3845196
7.761257602037219,2.0078907
5.030463141546647,1.2180634
4.6333497749980594,1.0654268
2.3340528833892833,2.0665913
5.5085485046572344,1.1428642
5.739651809559218,1.7372398
5.1497763664032306,1.1784906
6.461867517066668,1.3247337
3.815210864903765,1.071701
1.6960154833609504,1.3430738
5.137963676128054,1.1727448
4.276278936211952,2.5606508
2.0655169432308433,0.84542847
9.738398864761958,2.4554825
6.0915950958972545,1.1699009
6.949020410816999,1.4225616
4.273451610594311,1.5526352
8.375352365596836,2.3287601
4.772214928950609,2.2027073
4.61683729011007,1.75531
4.745861877235111,0.88638306
5.371212067260224,1.3132076
4.716981178375065,1.121686
4.5224203318254705,1.4190731
3.3811896836730924,1.2525101
6.7025325418251995,1.6292515
6.12148928237951,1.3075294
6.276935654784481,1.1451664
4.380378985546166,1.1789389
5.714079182543255,1.0398064
3.5557367415617342,1.1323948
4.122974243247029,0.9358635
3.6287044115656624,0.84611607
7.410658506628501,1.7365665
4.407175185513518,1.0435972
4.010410223481209,1.7256327
5.054733661581134,0.89136696
-1.0004001350373706,2.655036
3.6741277758324973,1.0841446
4.592907290378042,0.8979702
4.817760129890187,1.0258551
6.745566443935239,1.5840015
6.386607034847074,2.0877094
8.502726631500682,2.2202148
5.089064459250773,1.1775932
4.430398385481833,1.0503693
10.113052685618296,2.0750637
5.539948734682339,1.1719103
5.30802288236629,0.99719906
7.169794608734836,1.7659149
7.948568816783467,1.8176098
6.416183241513028,1.3148499
7.247662560658004,1.5981045
6.301336852450596,1.3205128
5.380871815239383,2.1791239
7.83598734641685,1.9282341
4.532938304193248,1.2133102
2.609323021198419,1.337431
5.756208675450273,1.1558437
9.558647182781417,2.600626
6.24424500996005,1.3250427
5.823501731726623,1.299099
5.559917039130459,1.0540466
5.865127455406283,1.6795425
5.369516683138084,1.5085783
5.801265752694476,1.0260277
6.519620209051993,1.3373585
6.668209059732423,1.80756
7.008439024955578,1.4574432
4.911691243122654,1.2171326
0.19660292079338149,1.2923107
4.605472660814657,1.114234
3.8314197925906246,1.0219078
4.829031392887952,1.0169258
5.698176773119618,1.2810535
5.199864928105352,1.2432451
5.484483278147689,1.1654778
5.664304274386691,1.3717175
4.348529178213825,1.2758522
6.927167340550657,1.5455322
7.943149936675649,1.725996
6.172240759980756,1.4879875
3.8962942633225826,1.1945314
3.565210852146807,2.4047546
4.738693132559822,1.2494736
5.13481609726087,1.3780117
4.615890356083444,0.9399462
4.65712569700956,0.7968941
2.5494229186710733,1.2179146
8.066178675691187,1.7698879
9.094474346841693,2.3486252
1.5346142314708437,1.7315712
1.1293351608630022,1.8347883
6.218804678564176,1.3769608
8.658996917687897,2.0217514
4.613059709104448,1.465272
5.1428553104871035,1.3960476
7.976886452836897,1.9317341
5.237093032663767,1.1484327
5.009052886940502,1.2103214
4.306009197560943,1.1158075
5.1375520355397555,1.4443913
5.9452788698370895,2.048664
5.768856891649424,1.0950251
0.610861794142977,2.4928923
7.609561559865789,1.6980648
5.675885301994571,1.9621658
5.525401579577087,1.6386185
3.477265872283869,1.2663345
9.423869458011936,2.1124592
2.290329510317216,2.0256863
4.505289833171631,1.1408939
5.584885663066279,1.0432148
4.318315504733107,1.2519302
2.7165495291743795,0.771574
3.7633163549385884,1.4330921
3.9724758706903422,1.1164122
3.31926120725009,1.1111526
5.945809374159069,1.721611
1.2645218670030758,1.5610504
6.0581115613296035,1.1644878
7.67624862166987,1.8383083
6.406905006579887,1.1915798
7.724234670415051,1.9109898
4.977766614030312,1.8953638
8.436074314423497,2.2079735
3.434495258122464,0.76252747
9.0687000883368,2.311926
7.831422482629172,2.0509338
2.4687603654222148,0.9319887
4.310122780737073,0.8270569
6.4106331282327815,1.3860416
4.705605077632043,0.83176327
6.372735321407966,1.1836834
4.71818650964358,1.0968199
4.4329628999941395,0.8454981
6.528734053492354,1.4966125
4.193193826770667,1.3667908
3.70434653319902,1.2097921
8.78451169902996,2.0381432
-1.114876419951873,1.294631
2.156542864886866,2.2328978
7.648341621719542,1.6142483
3.0471879938383744,0.5560789
7.509005253043394,1.6388683
5.350835634562182,1.4008045
3.229894112301171,0.77954006
3.652802985435775,2.5667152
8.382685511889044,2.2578888
-0.983653996166236,1.4761286
6.881140306257954,1.6706142
4.257770700107599,1.0034332
4.656227240441195,0.87557983
5.777580631144371,1.4276896
2.4174711527139507,1.2838287
1.8921807948381897,2.5334787
7.755514562788065,1.8936825
0.4695604265808271,2.231473
5.514649112717281,1.137043
4.231716114587806,0.893837
7.0699631692084495,1.5099506
3.334627273398082,1.4228029
4.8435614120641794,0.9134817
3.6323073238242625,1.4681311
3.815786046744215,0.9872885
3.0615513327222654,1.1964712
6.170461807400667,0.9586773
10.574733996321108,2.71134
4.680626284013206,1.7375641
1.116766387692353,2.2141132
6.291513309053542,1.3215427
5.922957675294324,1.7541256
4.781666620557317,0.7587776
7.841024591857739,1.8132725
5.650634807170054,1.1040306
3.475966207070053,1.0437279
5.620226317753033,1.3473082
9.081043662269305,2.0934906
1.6225564301602784,2.237997
4.857518048561976,1.4968929
7.994650823521795,1.9252777
2.4080274200684464,0.61707497
4.964663762006385,0.9982796
4.25241930151666,1.2049017
5.785273299687024,1.2332535
8.997731853354786,2.3101444
6.186053018416633,1.1646023
4.470563584685632,1.9212198
4.527978987802937,0.8881531
8.55164110653265,1.7800064
4.529493399314674,1.5631886
8.860987157955329,2.0691967
1.669435243249005,1.9371424
7.311516550399546,1.6833763
3.7659583349479995,1.0497437
5.896619033984827,1.6456718
6.339107072145936,0.9303303
0.8555351239301618,1.419527
8.942240340651502,2.332985
8.342274925576614,2.0533276
7.150167999634796,1.4789925
6.1250627578549945,1.1711636
4.9192733412716105,1.0210419
5.94597364071557,1.1346302
1.3880913156831873,2.028739
6.033973773069235,1.2551098
5.203078240425789,1.3051405
5.671195780764286,0.9709015
6.118623789960996,1.3336201
4.5891114187297575,0.902545
5.5265334124994645,1.7509584
2.556641344582083,0.9250984
4.800332207322304,1.4179726
8.989113613012865,2.2441788
0.8323003707412422,3.2055502
4.3899896823218345,0.87758636
4.252969459396423,1.0902319
3.396897268720359,0.80375195
6.036868900708146,1.3123207
6.9969969096855,1.3483543
-2.353223259570873,3.7880688
5.994283833017713,1.2226486
5.429088958819456,1.3748064
6.027352140352637,1.0561295
4.049934060505082,1.1371508
5.367080763768071,1.1426077
7.812797729081524,1.9505959
7.1132327634780665,1.5881977
4.778513279469493,1.1117172
6.433788943827729,1.2124901
5.651480485484361,1.1221256
5.304101573533215,1.3711653
1.8782833960894294,2.0435505
4.756809785907363,1.3821497
9.586874944039234,2.445734
4.031690308542405,1.2514038
9.609422374098664,2.362753
4.424098042936063,1.7650299
5.338314584443973,1.3464146
3.524425347059614,1.2219095
5.474118649854869,1.3006983
5.415319044388628,1.004283
6.573867616742017,1.2702141
3.732348806860628,1.1227522
5.7793233893650235,1.2866268
7.243093478609019,1.4920177
2.9249199453009496,0.90488434
4.850128931321992,0.93849754
5.279713359339677,1.0653048
5.979172239808859,2.2147121
4.47841646831516,0.86110497
9.433649687553576,2.0420856
-1.127647920917914,2.5362024
6.996772067916652,1.6519966
6.059856510722714,1.6621189
5.437610228534007,1.4502354
2.71575043335722,0.554986
8.014724477048105,1.9098568
2.7181397890439527,0.9028425
7.04262439043465,1.2955246
2.817294708857524,1.4959621
7.868360232957631,1.7518272
6.544452170440763,1.7069397
4.361633179820075,1.2014885
5.792691855553739,1.7024794
9.112636440652995,2.3088703
7.59360088734476,2.0427399
7.243537707887459,2.0516357
8.427451273021372,2.1679688
5.220282289496758,0.89183617
4.704134094761235,1.9621487
9.064393213239338,2.1962776
7.402432051941393,2.3039112
6.329855217370255,1.1230068
4.145697142502023,0.9257736
7.204319318496893,1.8991737
5.843740836896638,1.3451653
6.16373767556944,1.6453972
5.2150021345372615,1.5413942
4.3769300210945445,2.1449852
