mg,bp_rp
4.351839968019108,1.1402731
4.684350479333419,1.2363825
4.96214385428147,1.3257322
4.687139509536303,1.3610849
2.9775471381116603,0.89852333
8.988746777105597,2.4140444
8.197236391272153,2.0047083
5.901154476039073,1.3732061
8.969572260259088,2.3425484
8.889497945418054,2.482193
4.052901318335888,0.8511133
9.01646874509435,2.3865948
8.403464060228501,1.9819326
9.421300657771294,2.369957
4.041903477177545,1.1661797
9.132042762602488,2.2112083
6.089085648804936,1.3139706
3.883087654799297,1.2030945
6.3990490420588095,1.5036211
6.184950578496718,1.4658546
7.9880754665995575,1.9559059
3.2340197945029097,1.6256208
7.75839684530607,1.867836
5.035348388306188,1.1782923
5.7694867500864095,1.2902613
5.453314944264736,1.2534037
4.315864464540674,1.2334299
5.713730982199342,1.2792377
9.04119594533137,2.3256083
9.92755688970433,2.5434399
4.220535640288356,1.0466251
5.127305132361338,1.313427
5.696968375313842,1.2982168
5.931885842188047,1.5985861
5.290727747119828,1.2608862
9.013313596730598,2.566183
3.6378404082553626,1.0786858
8.024823332993495,1.9876137
3.766008726522214,1.1038542
4.3144865357535895,1.2883072
3.9207667195625753,1.2411909
4.180661107328364,1.0871277
6.2331075563150975,1.449686
4.834266690338049,1.2696629
4.329783951327359,1.2197552
6.737771362016694,1.5709057
7.917651593712268,1.9181767
3.800977112250729,1.196621
7.021625343368719,1.4742212
7.768217346624848,1.8440647
7.216812718534683,1.6909151
4.640845921249612,1.2781487
2.4373401461693565,1.5120506
6.862488624795393,1.5593481
8.526903856640068,2.2475376
4.361552566571607,1.2442961
9.860787141689656,2.6629314
5.682247794625209,1.3315096
4.598982986398076,1.1896658
5.031483587493556,1.3204298
5.597117297943312,1.315629
7.294906065091681,1.7937403
9.085608151659166,2.3321657
2.9405014836685286,1.6477804
10.92521368827062,2.8514442
4.739339357952899,1.3020964
3.038237769902686,0.8238287
6.092097899621773,1.4735861
4.642742480916766,1.3919401
7.976824198392855,2.0031023
10.087153495292206,2.78409
6.3328836745372,1.6538696
4.542228562595058,1.1573095
5.65299825404168,1.340868
4.1583750635090535,1.2046928
4.558117927824716,1.4263039
5.492581079537517,1.3637667
6.604099449614761,1.5394058
2.4096943491316445,1.0302839
10.737240178531998,2.618229
10.172137607157708,2.7519073
3.8173542515412073,1.3238668
11.070960341924476,3.0393753
4.456826859578559,1.278449
4.273295236265842,1.1361713
5.943313106666084,1.5664501
4.173616041978802,1.1096535
8.270961985889919,2.0675707
3.051073182342094,1.4586124
7.191355474695811,1.620697
4.365084146366435,1.2618694
4.63379585319702,1.5014248
8.344070151494545,1.9465199
8.474305143212725,1.8414145
9.240453986169392,2.5583582
11.717282766529927,2.9818382
4.133589206043068,1.5061455
6.468255622306895,1.4265242
11.918276197287916,3.0054073
8.722625259744575,2.3813782
5.420264059391917,1.2787533
-0.33867670756321644,1.9100599
3.4595626780840885,1.16364
8.395702044570854,2.1896343
4.08491091679039,1.5379801
4.842566811544446,1.1883049
5.974701512949851,1.3402662
8.039371614519407,1.9532442
9.492321183752267,2.8539238
10.073336827518354,1.945262
4.869104119599026,1.0924816
6.460240748099292,1.4927597
10.084536613714668,2.5422306
5.77223214636013,1.3151608
1.228180663478632,1.6652632
7.31432822507092,1.7693005
7.497666050377596,1.7559252
5.875161429570957,1.2425976
3.1825958029301447,1.0339518
5.947240533635126,1.4307566
10.555591991130726,2.8390694
4.246990127470617,1.437355
4.984192463434114,1.1843863
4.570181886562414,1.1849222
10.485710540731176,2.4485931
3.5135831579767363,1.317399
5.673409234561728,1.2812109
4.352119349209286,1.2936945
6.270237356102545,1.3801498
6.3178039126444325,1.453536
13.439698073871831,0.5402756
7.686800044192115,1.9220543
8.422402636001753,1.9670334
7.458579121579255,1.7194214
7.407423987931406,1.8156576
5.865652355341378,1.3166046
8.978512780313892,2.1569786
4.412638337774013,1.1169691
10.292887884482596,2.812811
10.006974485057789,2.5882359
1.6175136001455446,1.5435171
4.451503077975451,1.1950779
9.538216587143388,2.543149
8.257767087400449,1.9977922
4.357309313456836,1.1230764
5.442128304490666,1.301939
8.29575708061855,2.1897306
6.766817823736108,1.6403046
5.845147839996514,1.3290901
6.193490712516571,1.3422546
3.884383384416404,1.062067
4.026745023569028,1.1954012
9.24540634209053,2.2639923
4.484856150993554,1.2518702
4.173370499632453,1.168582
5.478729535592333,1.369709
4.260452743412262,1.0406713
5.604342381724678,1.3647699
12.467296480708445,2.7803574
8.083461071030698,2.1071196
4.7182644473322135,1.1981115
11.286850385615065,3.4149609
5.6247083335658505,1.2689791
5.385744532854476,1.3041525
9.323089039811023,2.6077347
4.939990260662192,1.2060642
6.868098180547747,2.3392076
8.051799499076527,1.949194
5.734480236775923,1.351738
7.714460442603272,1.8874006
7.821301523435196,1.853859
3.9601531479678354,1.1287298
4.843237586725772,1.1162882
4.010369851422961,1.0144758
5.708667596626647,1.3976421
9.699784685430835,2.8272476
4.830939124206836,1.26929
5.809196397945888,1.435216
5.116986305675143,1.290762
5.10257390803169,1.279419
4.3917233184695945,1.108594
5.5920424019685235,1.2501287
7.291882705477224,1.6667471
7.62381920923557,1.8246431
